spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
-28.0634,-18.5973,-48.2836,-57.3413,-37.1297,-82.4064,-97.2967,-61.1088,-128.323,399.969,-15.1337
-26.6917,-17.7272,-46.6721,-57.3413,-37.1297,-82.4064,-97.2967,-61.1088,-128.323,399.928,-15.1114
-28.0634,-18.5973,-48.2836,-97.2967,-61.1088,-128.323,-145.983,-88.3298,-183.288,-0.00997882,-15.1302
-57.3413,-37.1297,-82.4064,-97.2967,-61.1088,-128.323,-145.983,-88.3298,-183.288,-0.0260124,-15.1088
-20.4736,-27.4559,-45.1217,-41.6821,-54.7699,-75.4469,-69.997,-89.4275,-114.77,399.931,-15.0908
-20.4736,-27.4559,-45.1217,-41.6821,-54.7699,-75.4469,-71.0758,-90.7081,-116.239,399.93,-15.0908
-19.0953,-25.6353,-43.1192,-41.6821,-54.7699,-75.4469,-69.997,-89.4275,-114.77,399.927,-15.0902
-19.0953,-25.6353,-43.1192,-41.6821,-54.7699,-75.4469,-71.0758,-90.7081,-116.239,399.926,-15.0902
-19.0953,-25.6353,-43.1192,-69.997,-89.4275,-114.77,-107.008,-132.224,-164.527,-0.0239372,-15.0662
-41.6821,-54.7699,-75.4469,-69.997,-89.4275,-114.77,-107.008,-132.224,-164.527,-0.212099,-14.986
-19.0953,-25.6353,-43.1192,-71.0758,-90.7081,-116.239,-107.008,-132.224,-164.527,-0.0295079,-15.0668
-41.6821,-54.7699,-75.4469,-71.0758,-90.7081,-116.239,-107.008,-132.224,-164.527,-0.229526,-14.99
20.9275,-25.0942,-12.425,43.9226,-51.5139,-9.575,75.3602,-85.8756,-5.825,399.982,-15.0835
20.9275,-25.0942,-12.425,44.8329,-52.5257,-9.475,75.3602,-85.8756,-5.825,399.966,-15.0738
20.9275,-25.0942,-12.425,75.3602,-85.8756,-5.825,114.848,-126.462,-1.225,-0.0353018,-15.0669
44.8329,-52.5257,-9.475,75.3602,-85.8756,-5.825,114.848,-126.462,-1.225,-0.0373934,-15.0487
43.9226,-51.5139,-9.575,75.3602,-85.8756,-5.825,114.848,-126.462,-1.225,-0.0667514,-15.0245
-0.603585,32.1142,19.1785,-0.504304,68.1262,57.6954,0.885628,114.294,107.071,399.964,-15.1712
-0.603585,32.1142,19.1785,0.885628,114.294,107.071,4.15338,169.833,166.628,-0.102787,-15.1518
-0.504304,68.1262,57.6954,0.885628,114.294,107.071,4.15338,169.833,166.628,-0.361885,-15.113

Event: 2
-25.074,-20.9433,-69.775,-51.4813,-43.9605,-76.175,-85.8008,-75.4266,-84.675,399.994,-63.807
-25.074,-20.9433,-69.775,-51.4813,-43.9605,-76.175,-85.8008,-75.4266,-84.675,399.994,-63.807
-25.074,-20.9433,-69.775,-52.4847,-44.865,-76.425,-85.8008,-75.4266,-84.675,399.977,-63.8041
-25.074,-20.9433,-69.775,-51.4813,-43.9605,-76.175,-85.8008,-75.4266,-84.675,399.994,-63.807
-25.074,-20.9433,-69.775,-52.4847,-44.865,-76.425,-85.8008,-75.4266,-84.675,399.977,-63.8041
-52.4847,-44.865,-76.425,-85.8008,-75.4266,-84.675,-125.698,-114.354,-94.9418,-0.0115958,-63.8283
-51.4813,-43.9605,-76.175,-85.8008,-75.4266,-84.675,-125.698,-114.354,-94.9418,-0.0419392,-63.8197
-25.074,-20.9433,-69.775,-51.4813,-43.9605,-76.175,-85.8008,-75.4266,-84.675,399.994,-63.807
-25.074,-20.9433,-69.775,-52.4847,-44.865,-76.425,-85.8008,-75.4266,-84.675,399.977,-63.8041
-52.4847,-44.865,-76.425,-85.8008,-75.4266,-84.675,-125.698,-114.354,-94.9418,-0.0115958,-63.8283
-51.4813,-43.9605,-76.175,-85.8008,-75.4266,-84.675,-125.698,-114.354,-94.9418,-0.0419392,-63.8197
-3.06981,-32.5571,-62.9873,-5.86639,-67.4456,-62.175,-8.45576,-113.359,-61.075,399.812,-63.7462
