cluster_index, module_index, channel0, channel1

Event: 0
20,2810,73,1015
20,2810,74,1015
20,2810,72,1016
20,2810,73,1016
20,2810,71,1017
20,2810,72,1017
20,2810,71,1018
20,2810,70,1019
20,2810,71,1019
20,2810,69,1020
20,2810,70,1020
20,2810,68,1021
20,2810,69,1021
20,2810,67,1022
20,2810,68,1022
20,2810,63,1023
20,2810,64,1023
20,2810,67,1023
20,2810,63,1024
20,2810,66,1024
20,2810,62,1025
20,2810,65,1025
20,2810,66,1025
21,2810,40,1026
21,2810,41,1026
20,2810,62,1026
20,2810,64,1026
20,2810,65,1026
21,2810,42,1027
21,2810,43,1027
20,2810,61,1027
20,2810,63,1027
20,2810,64,1027
20,2810,72,1027
20,2810,73,1027
21,2810,44,1028
21,2810,45,1028
21,2810,46,1028
20,2810,61,1028
20,2810,62,1028
20,2810,63,1028
20,2810,70,1028
20,2810,71,1028
20,2810,72,1028
21,2810,46,1029
21,2810,47,1029
20,2810,60,1029
20,2810,62,1029
20,2810,68,1029
20,2810,69,1029
20,2810,70,1029
20,2810,49,1030
20,2810,50,1030
20,2810,60,1030
20,2810,61,1030
20,2810,62,1030
20,2810,66,1030
20,2810,67,1030
20,2810,68,1030
20,2810,50,1031
20,2810,51,1031
20,2810,52,1031
20,2810,59,1031
20,2810,60,1031
20,2810,61,1031
20,2810,63,1031
20,2810,64,1031
20,2810,65,1031
20,2810,52,1032
20,2810,53,1032
20,2810,54,1032
20,2810,58,1032
20,2810,59,1032
20,2810,60,1032
20,2810,62,1032
20,2810,63,1032
20,2810,54,1033
20,2810,55,1033
20,2810,56,1033
20,2810,58,1033
20,2810,59,1033
20,2810,60,1033
20,2810,61,1033
20,2810,56,1034
20,2810,57,1034
20,2810,58,1034
20,2810,59,1034
20,2810,55,1035
20,2810,56,1035
20,2810,57,1035
20,2810,59,1035
20,2810,60,1035
20,2810,53,1036
20,2810,54,1036
20,2810,56,1036
20,2810,57,1036
20,2810,61,1036
20,2810,62,1036
20,2810,63,1036
20,2810,51,1037
20,2810,52,1037
20,2810,55,1037
20,2810,56,1037
20,2810,64,1037
20,2810,65,1037
20,2810,48,1038
20,2810,49,1038
20,2810,50,1038
20,2810,51,1038
20,2810,54,1038
20,2810,55,1038
20,2810,56,1038
20,2810,65,1038
20,2810,66,1038
20,2810,67,1038
20,2810,46,1039
20,2810,47,1039
20,2810,48,1039
20,2810,53,1039
20,2810,54,1039
20,2810,55,1039
20,2810,67,1039
20,2810,68,1039
20,2810,69,1039
20,2810,45,1040
20,2810,46,1040
20,2810,53,1040
20,2810,54,1040
20,2810,69,1040
20,2810,70,1040
20,2810,71,1040
22,2810,43,1041
20,2810,52,1041
20,2810,54,1041
20,2810,72,1041
20,2810,73,1041
20,2810,51,1042
20,2810,52,1042
20,2810,53,1042
20,2810,73,1042
20,2810,74,1042
20,2810,75,1042
20,2810,50,1043
20,2810,51,1043
20,2810,53,1043
20,2810,76,1043
20,2810,49,1044
20,2810,50,1044
20,2810,52,1044
20,2810,53,1044
20,2810,48,1045
20,2810,49,1045
20,2810,47,1046
20,2810,48,1046
23,2810,51,1046
20,2810,47,1047
20,2810,48,1047
23,2810,51,1047
