sp_x, sp_y, sp_z

Event: 0
-128.408,338.003,-73.1
-332.254,144.613,373.5
-349.136,84.7844,-65.9
254.679,-254.469,76.7
-158.216,477.723,-87.5
-157.141,471.858,-87.5
-451.783,220.029,533.5
-494.604,97.5445,-77.3
-488.061,97.1988,-76.7
367.578,-337.138,121.1
-176.972,635.271,-104.3
-578.036,316.824,713.7
-650.566,96.9221,-89.9
506.738,-420.621,171.4

Event: 7
17.03,-27.0841,46.6632
18.0725,-28.7321,47.475
10.7207,30.1834,-0.385208
-30.0757,11.1059,63.8213
-29.4417,-12.8417,10.9
-63.9144,22.812,97.5803
-62.7635,-26.5081,-14.4541
37.0006,-57.452,61.5321
22.0721,64.1213,-38.2488
35.5327,107.993,-86.8362
-106.901,39.9496,432.184
-107.681,36.7947,140.987
-105.687,-42.5525,-46.798
-98.2945,-57.148,352.545
63.2985,-95.36,80.1921
50.3512,162.977,-147.165
-161.822,51.9747,194.216
-165.076,42.0843,472.368
-165.431,39.1762,188.261
-158.319,-60.4598,-86.0447
-153.445,-72.1279,305.188
-159.875,-60.969,-87.1999
-89.6307,-143.767,66.3499
96.3835,-140.321,102.837
-105.393,-13.0469,616.8
-105.31,-15.0303,615.6
-106.562,-1.28345,623.8
-106.815,-2.40563,623.8
-108.61,-7.225,623.8
-108.937,-7.43541,623.8
-107.61,-8.49028,716.8
-132.66,-36.3985,722.6
-131.237,-36.3531,723.8
-142.887,-34.0251,842.6
-132.38,-35.3495,982.6
-131.776,-35.2192,983.8
-130.655,-34.3854,1122.6
-129.907,-34.0198,1123.8
-146.588,-28.1416,1322.6
-137.529,-42.0725,1323.8
-146.632,-14.1018,1523.8
-145.414,-12.1213,1522.6
-140.683,-50.3668,1523.8
-140.223,224.279,767
-135.473,225.86,772.1
-140.454,224.202,774.5
-251.069,72.7661,281.1
-246.306,-86.1898,-151.1
152.824,-210.344,139.1
70.0835,252.412,-244
85.7617,348.752,-347.7
-347.271,89.5312,372.9
-341.816,-108.214,-220
219.779,-284.157,180.4
98.5341,490.437,-498.7
-492.256,103.229,510.7
-486.217,102.935,505.5
-484.475,-130.487,-321.9
323.257,-383.137,239.2
98.0898,653.177,-670.8
-655.161,102.881,665.6
-648.812,103.181,659.2
-648.112,-139.938,-437
-642.109,-139.857,-433.4
447.667,-482.232,303.9

Event: 8
32.7726,-4.85686,-49.0307
-15.2089,-28.9282,-43.275
31.8667,-4.70168,-48.6072
-11.5992,30.1411,-44.091
-12.2372,29.782,-22.1921
-24.0095,64.1699,-55.225
-25.3602,63.4096,-8.80753
-30.8734,-60.2475,-53.0317
-31.4794,-61.4904,-53.425
67.0795,-10.6524,-64.6919
-38.7102,107.7,-69.3303
-40.9939,106.503,8.28453
-50.4874,-102.088,-65.875
111.853,-19.2787,-85.225
113.35,-19.6058,-85.9102
-54.7648,160.315,-86.2677
-55.1842,161.833,-86.7447
-58.6731,160.005,29.325
-72.836,-153.796,-81.5624
167.797,-31.8316,-110.978
-83.2301,246.797,63.5
-77.3108,247.777,-113.9
-105.596,-240.567,-107.9
252.333,-54.7568,-151.1
-97.0854,349.709,-146.3
-104.824,342.456,99.5
-96.1278,344.097,-143.9
-134.148,-331.732,-134.3
348.314,-86.8786,-197.2
-113.57,489.198,-188.8
-125.8,482.025,152.3
-167.498,-473.025,-174.4
482.08,-143.039,-263.2
476.853,-140.523,-260.8
-118.263,652.121,-239.2
-134.984,645.128,212.8
-118.37,646.219,-238
-189.969,-630.548,-217.6
625.822,-220.256,-337.5
620.552,-217.1,-334.5

Event: 9
-19.056,-25.6662,-1.725
-20.3754,-27.4833,-2.14431
7.80145,-31.2463,-24.8745
8.0108,-32.1611,-25.7255
30.4527,-9.75768,-3.25593
17.3253,27.0244,-23.6708
18.0623,28.1302,-24.8116
-40.2515,-55.4949,-8.375
15.7812,-66.0654,-56.8971
64.6955,-20.0192,-11.4356
66.3256,-20.5081,-11.825
37.3404,56.9702,-54.762
-65.8764,-93.4425,-16.575
25.1303,-111.7,-98.7238
110.241,-32.4655,-22.175
63.7522,94.5596,-94.4044
97.5552,139.599,-143.097
-95.6523,-140.6,-26.525
34.6186,-166.556,-148.827
164.659,-45.4954,-34.825
-141.662,-221.35,-42.6
46.1478,-256.76,-230.8
256.004,-62.9076,-56.3
250.066,-61.9059,-55.1
154.48,208.712,-220
-185.565,-309.96,-59.9
53.1231,-358.221,-322.5
352.784,-75.5004,-77.9
223.284,282.724,-306.9
325.639,376.909,-426.2
-239.449,-441.434,-83.9
52.6966,-496.134,-447.8
492.492,-83.4186,-110.3
655.949,-77.712,-146.3
456.768,477.342,-567.7
-286.698,-596.065,-111.5
36.3353,-661.604,-598.2
37.1615,-655.816,-593.5

Event: 10
28.6783,14.1979,81.1391
-23.304,-22.3324,141.771
2.68848,-31.8628,87.9442
-29.184,14.2945,65.275
-62.0291,29.5533,62.525
60.3683,30.7631,96.1
-48.7205,-47.8191,224.14
4.97194,-67.5874,110.509
62.0393,31.6534,96.9017
-103.243,47.4496,59.225
-104.876,48.1347,59.125
-79.8919,-80.6701,327.515
-80.9442,-81.8578,331.154
6.70936,-113.378,139.338
101.046,53.1542,115.543
6.74988,-115.077,140.394
-156.041,68.5245,55.125
-117.527,-123.015,456.614
6.95931,-170.032,174.909
148.986,81.5667,138.96
-244.932,99.4975,48.6
-238.679,97.513,48.6
-175.672,-194.934,668
226.807,132.626,178
3.18879,-260.482,232
-336.186,125.729,41.4
-232.156,-273.154,889
-6.89668,-358.958,293.7
303.582,194.373,217.513
304.881,191.394,217.6
305.09,190.913,218.8
302.843,196.069,220
303.472,194.625,222.4
-475.872,155.195,30.6
-30.959,-497.509,381.8
414.361,285.979,279.3
409.793,281.688,276.9
522.941,398.757,345.7
-634.796,173.575,19.8
-73.2016,-654.142,483.8
-325.139,-428.935,1302.5
-371.717,-524.459,1542.5

Event: 11
112.551,-107.855,-722.6
97.0813,-91.9368,-622.6
-1.49671,-32.3674,96.3408
23.9067,-21.298,-164.365
-2.5892,31.8748,-30.3206
-22.5176,23.068,21.537
-48.1586,48.2879,67.9414
-3.8953,-68.6567,227.297
