spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
16.7686,-27.2313,46.6586,59.783,-96.4789,80.0632,89.5795,-144.021,103.069,-0.0187919,33.5541
16.7686,-27.2313,46.6586,59.783,-96.4789,80.0632,90.5144,-145.512,103.791,-0.0198953,33.5541
17.8744,-28.9845,47.5092,59.783,-96.4789,80.0632,89.5795,-144.021,103.069,-0.0151407,33.5558
17.8744,-28.9845,47.5092,59.783,-96.4789,80.0632,90.5144,-145.512,103.791,-0.0138607,33.5558
36.0292,-58.2854,61.6331,59.783,-96.4789,80.0632,89.5795,-144.021,103.069,-0.0785413,33.5552
36.0292,-58.2854,61.6331,59.783,-96.4789,80.0632,90.5144,-145.512,103.791,-0.0746642,33.5552
16.7686,-27.2313,46.6586,60.5857,-97.7594,80.6902,89.5795,-144.021,103.069,-0.0217511,33.5512
16.7686,-27.2313,46.6586,60.5857,-97.7594,80.6902,90.5144,-145.512,103.791,-0.0228372,33.5512
17.8744,-28.9845,47.5092,60.5857,-97.7594,80.6902,89.5795,-144.021,103.069,-0.0117108,33.5526
17.8744,-28.9845,47.5092,60.5857,-97.7594,80.6902,90.5144,-145.512,103.791,-0.0104508,33.5526
36.0292,-58.2854,61.6331,60.5857,-97.7594,80.6902,89.5795,-144.021,103.069,-0.0653162,33.5439
36.0292,-58.2854,61.6331,60.5857,-97.7594,80.6902,90.5144,-145.512,103.791,-0.0615605,33.5439
10.9868,30.109,-0.419456,23.1972,63.8067,-38.3794,38.7493,107.198,-87.2695,-0.0203403,33.5257
10.9868,30.109,-0.419456,38.7493,107.198,-87.2695,57.4777,159.838,-146.521,-0.0325393,33.5538
23.1972,63.8067,-38.3794,38.7493,107.198,-87.2695,57.4777,159.838,-146.521,-0.131038,33.6317
-30.0029,11.3663,63.8604,-63.5777,24.0158,97.701,-106.841,40.1923,141.267,199.992,33.5992
-30.0029,11.3663,63.8604,-63.5777,24.0158,97.701,-158.684,59.4273,193.436,199.997,33.5992
-30.0029,11.3663,63.8604,-63.5777,24.0158,97.701,-160.183,59.9683,194.93,199.995,33.5992
-30.0029,11.3663,63.8604,-106.841,40.1923,141.267,-158.684,59.4273,193.436,-0.00692733,33.5989
-30.0029,11.3663,63.8604,-106.841,40.1923,141.267,-160.183,59.9683,194.93,-0.0014538,33.5989
-63.5777,24.0158,97.701,-106.841,40.1923,141.267,-158.684,59.4273,193.436,-0.0339166,33.598
-63.5777,24.0158,97.701,-106.841,40.1923,141.267,-160.183,59.9683,194.93,-0.0181192,33.598

Event: 8
-15.4928,-28.8488,-43.296,-31.9884,-59.6824,-53.1006,-53.8524,-100.808,-66.175,199.981,-34.1147
-15.4928,-28.8488,-43.296,-31.9884,-59.6824,-53.1006,-79.6602,-149.706,-81.675,199.983,-34.1147
-15.4928,-28.8488,-43.296,-31.9884,-59.6824,-53.1006,-80.4417,-151.25,-82.1685,199.979,-34.1147
-15.4928,-28.8488,-43.296,-32.7547,-61.1338,-53.5619,-53.8524,-100.808,-66.175,199.997,-34.1137
-15.4928,-28.8488,-43.296,-32.7547,-61.1338,-53.5619,-79.6602,-149.706,-81.675,199.994,-34.1137
-15.4928,-28.8488,-43.296,-32.7547,-61.1338,-53.5619,-80.4417,-151.25,-82.1685,199.99,-34.1137
