spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,-100.704,-137.944,-164.736,-0.0679163,-15.0789
20.7272,-25.3494,-12.425,42.898,-52.3929,-9.5551,72.7384,-88.83,-5.675,399.944,-15.1123
-26.5445,-17.9886,-46.6924,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.976,-15.1071
-27.7814,-18.8186,-48.1644,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.955,-15.1166
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-140.455,-95.1122,-182.212,-0.017413,-15.0769
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-141.932,-96.1091,-183.968,-0.0188095,-15.0769
-20.1104,-27.5574,-44.9966,-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,399.956,-15.1176
-18.8593,-25.8205,-43.128,-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,399.926,-15.1292
-20.1104,-27.5574,-44.9966,-67.558,-92.5581,-115.506,-100.704,-137.944,-164.736,-0.00246951,-15.1066
-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,-100.704,-137.944,-164.736,-0.0679163,-15.0789
20.7272,-25.3494,-12.425,42.898,-52.3929,-9.5551,72.7384,-88.83,-5.675,399.944,-15.1123
20.7272,-25.3494,-12.425,43.9296,-53.6766,-9.425,72.7384,-88.83,-5.675,399.979,-15.1078
-26.5445,-17.9886,-46.6924,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.976,-15.1071
-27.7814,-18.8186,-48.1644,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.955,-15.1166
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-140.455,-95.1122,-182.212,-0.017413,-15.0769
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-141.932,-96.1091,-183.968,-0.0188095,-15.0769
-20.1104,-27.5574,-44.9966,-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,399.956,-15.1176
-18.8593,-25.8205,-43.128,-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,399.926,-15.1292
-20.1104,-27.5574,-44.9966,-67.558,-92.5581,-115.506,-100.704,-137.944,-164.736,-0.00246951,-15.1066
-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,-100.704,-137.944,-164.736,-0.0679163,-15.0789
20.7272,-25.3494,-12.425,42.898,-52.3929,-9.5551,72.7384,-88.83,-5.675,399.944,-15.1123
20.7272,-25.3494,-12.425,43.9296,-53.6766,-9.425,72.7384,-88.83,-5.675,399.979,-15.1078
42.898,-52.3929,-9.5551,72.7384,-88.83,-5.675,107.813,-131.642,-1.125,-0.00700959,-15.1338
43.9296,-53.6766,-9.425,72.7384,-88.83,-5.675,107.813,-131.642,-1.125,-0.0571469,-15.1479
-26.5445,-17.9886,-46.6924,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.976,-15.1071
-27.7814,-18.8186,-48.1644,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.955,-15.1166
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-140.455,-95.1122,-182.212,-0.017413,-15.0769
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-141.932,-96.1091,-183.968,-0.0188095,-15.0769
-20.1104,-27.5574,-44.9966,-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,399.956,-15.1176
-18.8593,-25.8205,-43.128,-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,399.926,-15.1292
-20.1104,-27.5574,-44.9966,-67.558,-92.5581,-115.506,-100.704,-137.944,-164.736,-0.00246951,-15.1066
-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,-100.704,-137.944,-164.736,-0.0679163,-15.0789
20.7272,-25.3494,-12.425,42.898,-52.3929,-9.5551,72.7384,-88.83,-5.675,399.944,-15.1123
20.7272,-25.3494,-12.425,43.9296,-53.6766,-9.425,72.7384,-88.83,-5.675,399.979,-15.1078
42.898,-52.3929,-9.5551,72.7384,-88.83,-5.675,107.813,-131.642,-1.125,-0.00700959,-15.1338
43.9296,-53.6766,-9.425,72.7384,-88.83,-5.675,107.813,-131.642,-1.125,-0.0571469,-15.1479
-0.901428,32.0783,19.1374,-1.89424,67.9586,57.4273,-3.13525,113.809,106.369,399.998,-15.0955
-26.5445,-17.9886,-46.6924,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.976,-15.1071
-27.7814,-18.8186,-48.1644,-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,399.955,-15.1166
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-140.455,-95.1122,-182.212,-0.017413,-15.0769
-56.3972,-38.2302,-82.2203,-94.6313,-64.1225,-127.726,-141.932,-96.1091,-183.968,-0.0188095,-15.0769
-20.1104,-27.5574,-44.9966,-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,399.956,-15.1176
-18.8593,-25.8205,-43.128,-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,399.926,-15.1292
-20.1104,-27.5574,-44.9966,-67.558,-92.5581,-115.506,-100.704,-137.944,-164.736,-0.00246951,-15.1066
-40.4177,-55.4107,-75.1865,-67.558,-92.5581,-115.506,-100.704,-137.944,-164.736,-0.0679163,-15.0789
20.7272,-25.3494,-12.425,42.898,-52.3929,-9.5551,72.7384,-88.83,-5.675,399.944,-15.1123
20.7272,-25.3494,-12.425,43.9296,-53.6766,-9.425,72.7384,-88.83,-5.675,399.979,-15.1078
42.898,-52.3929,-9.5551,72.7384,-88.83,-5.675,107.813,-131.642,-1.125,-0.00700959,-15.1338
