sp_x, sp_y, sp_z

Event: 0
-23.5469,-111.331,62.6075
-24.3758,-111.23,62.731
-20.1472,-111.747,63.575
-28.2618,-110.755,64.3296
-26.0284,-111.028,66.257
-19.6261,-111.81,68.725
-20.0582,-111.758,68.7994
-28.4603,-110.73,71.075
-19.3558,-113.35,-72.825
-19.6558,-113.35,63.875
-20.1593,-113.349,68.3549
-20.0058,-113.349,69.2577
72.7384,-88.83,-5.675
86.5838,-74.1095,310.24
89.7687,-69.5035,132.887
92.3952,-67.8678,54.1942
91.027,-70.4693,134.181
99.4848,-57.3333,-129.063
101.093,-53.1046,124.523
106.22,-42.702,210.164
110.225,-32.5924,-51.028
110.251,-32.3811,-33.8528
61.451,95.7697,-59.8783
59.3269,96.8868,51.7715
55.8153,100.062,-3.725
60.2495,98.3761,53.7245
169.52,5.53442,-83.325
171.28,5.60235,-83.425
91.581,142.741,-109.505
92.5055,144.221,-111.047
82.741,148.391,-16.675
89.1786,145.642,115.589
47.8839,163.38,-109.916
40.6301,164.565,-29.8385
41.0107,166.179,-30.3612
21.0058,168.946,50.6487
-4.63943,170.407,166.79
-9.08726,169.688,181.097
-10.9987,169.379,181.801
-5.52611,170.263,192.202
-6.19548,170.155,193.852
-6.26828,170.143,194.055
-8.14393,169.84,195.342
-27.0281,167.346,-203.34
-17.0124,169.806,182.625
-33.0531,167.077,299.848
-27.283,168.998,-204.522
-44.0057,164.889,65.475
-64.1653,157.129,52.8433
-129.638,109.599,-449.449
-128.188,111.697,-109.399
-139.598,96.1137,-58.8479
-145.39,87.7008,-201.055
-140.945,97.0478,-59.8389
-155.734,69.5808,69.325
-164.921,43.3509,10.025
-169.361,6.74182,107.293
-171.006,6.79284,108.106
161.725,53.2673,30.2683
-170.57,-9.09636,-214.42
-161.019,-54.7586,236.428
-158.362,-63.5953,4.83107
-139.444,-96.3524,-359.621
-140.455,-95.1122,-182.209
-140.79,-97.3001,-362.16
-141.932,-96.1091,-183.957
-108.054,-131.562,131.675
-100.697,-137.947,-164.738
-84.5344,-147.625,-40.582
-57.3321,-159.874,361.171
-41.9131,-164.356,84.2977
-28.5022,-167.199,-61.5802
-42.3562,-166.069,84.925
-28.8058,-168.939,-61.225
107.813,-131.642,-1.125
129.069,-110.422,442.159
136.985,-100.63,29.3149
134.832,-104.352,178.854
146.85,-84.6303,-151.675
148.262,-85.4852,-152.359
